Date,Day,Week locator,Up to 1 hr,1 to 2 hrs,2 to 3 hrs,3 to 4 hrs,4 to 5 hrs,5 to 6 hrs,6 to <24 hours,24 hours +,Subscribers,Total Exc Sub,Comments
01/04/2015,Wed,1_2015/16,413,338,197,77,17,13,10,0,13,1052,0
02/04/2015,Thu,1_2015/16,394,318,168,57,19,6,7,0,9,960,0
03/04/2015,Fri,1_2015/16,259,295,197,87,26,6,5,0,8,867,0
04/04/2015,Sat,1_2015/16,322,330,188,80,40,9,7,0,5,971,0
05/04/2015,Sun,1_2015/16,67,65,49,12,7,6,2,0,7,201,0
06/04/2015,Mon,2_2015/16,228,281,179,75,28,8,1,0,7,793,0
07/04/2015,Tue,2_2015/16,334,231,130,48,16,7,6,1,9,764,0
08/04/2015,Wed,2_2015/16,375,292,131,59,17,1,8,0,8,875,0
09/04/2015,Thu,2_2015/16,311,251,117,34,9,4,8,0,15,719,0
10/04/2015,Fri,2_2015/16,344,302,133,42,21,4,10,0,8,848,0
11/04/2015,Sat,2_2015/16,362,370,196,69,15,10,6,0,8,1020,0
12/04/2015,Sun,2_2015/16,229,271,165,58,24,8,7,1,7,756,0
13/04/2015,Mon,3_2015/16,359,273,94,37,10,3,4,0,15,765,0
14/04/2015,Tue,3_2015/16,310,245,108,36,14,5,4,0,13,709,0
15/04/2015,Wed,3_2015/16,342,316,107,40,10,6,12,0,14,819,0
16/04/2015,Thu,3_2015/16,304,260,86,26,13,1,3,0,8,685,0
17/04/2015,Fri,3_2015/16,368,298,123,42,8,4,4,0,11,836,0
18/04/2015,Sat,3_2015/16,303,382,235,90,26,5,12,0,8,1045,0
19/04/2015,Sun,3_2015/16,205,287,140,50,18,5,3,1,9,700,0
20/04/2015,Mon,4_2015/16,255,237,75,24,11,1,3,0,16,590,0
21/04/2015,Tue,4_2015/16,314,246,108,29,13,2,5,0,5,712,0
22/04/2015,Wed,4_2015/16,332,359,143,45,14,4,5,0,15,887,0
23/04/2015,Thu,4_2015/16,289,257,99,38,14,3,8,1,15,694,0
24/04/2015,Fri,4_2015/16,331,318,120,53,13,3,5,1,10,834,0
25/04/2015,Sat,4_2015/16,363,455,206,76,37,16,4,1,12,1146,0
26/04/2015,Sun,4_2015/16,224,342,180,50,21,8,3,0,8,820,0
27/04/2015,Mon,5_2015/16,336,263,93,43,11,3,3,0,3,749,0
28/04/2015,Tue,5_2015/16,321,282,88,33,11,5,6,1,13,734,0
29/04/2015,Wed,5_2015/16,408,358,140,47,10,2,5,0,11,959,0
30/04/2015,Thu,5_2015/16,333,307,114,46,19,0,7,0,11,815,0
01/05/2015,Fri,5_2015/16,409,333,135,50,12,2,5,0,14,932,0
02/05/2015,Sat,5_2015/16,304,465,238,87,23,14,11,0,8,1134,0
03/05/2015,Sun,5_2015/16,207,328,179,70,26,16,5,0,6,825,0
04/05/2015,Mon,6_2015/16,251,283,195,95,25,6,6,0,13,848,0
05/05/2015,Tue,6_2015/16,308,233,98,32,10,4,6,0,13,678,0
06/05/2015,Wed,6_2015/16,383,297,101,43,12,1,7,0,6,838,0
07/05/2015,Thu,6_2015/16,332,252,91,43,8,4,10,0,6,734,0
08/05/2015,Fri,6_2015/16,342,335,118,44,12,5,8,0,12,852,0
09/05/2015,Sat,6_2015/16,359,434,225,66,23,7,5,0,5,1114,0
10/05/2015,Sun,6_2015/16,229,256,143,66,16,4,5,0,10,709,0
11/05/2015,Mon,7_2015/16,324,211,70,30,9,1,3,0,9,639,0
12/05/2015,Tue,7_2015/16,294,232,89,33,8,1,9,0,7,659,0
13/05/2015,Wed,7_2015/16,354,322,128,39,11,8,2,0,10,854,0
14/05/2015,Thu,7_2015/16,333,265,120,32,11,2,4,0,5,762,0
15/05/2015,Fri,7_2015/16,354,303,122,44,11,3,7,0,6,838,0
16/05/2015,Sat,7_2015/16,349,401,194,87,25,7,9,0,8,1064,0
17/05/2015,Sun,7_2015/16,202,263,118,52,23,4,5,0,8,659,0
18/05/2015,Mon,8_2015/16,301,234,72,18,7,2,6,0,10,630,0
19/05/2015,Tue,8_2015/16,330,251,99,30,9,5,6,0,7,723,0
20/05/2015,Wed,8_2015/16,345,314,111,52,13,3,9,0,9,838,0
21/05/2015,Thu,8_2015/16,304,262,114,36,5,3,6,0,8,722,0
22/05/2015,Fri,8_2015/16,367,327,132,53,18,4,10,1,8,904,0
23/05/2015,Sat,8_2015/16,298,395,193,89,31,11,12,0,5,1024,0
24/05/2015,Sun,8_2015/16,197,275,181,71,27,9,8,0,9,759,0
25/05/2015,Mon,9_2015/16,237,259,126,88,24,8,3,0,4,741,0
26/05/2015,Tue,9_2015/16,338,283,114,42,19,5,6,0,9,798,0
27/05/2015,Wed,9_2015/16,331,377,130,54,11,7,4,0,14,900,0
28/05/2015,Thu,9_2015/16,299,283,114,55,17,6,6,0,7,773,0
29/05/2015,Fri,9_2015/16,370,341,139,43,19,6,4,0,9,913,0
30/05/2015,Sat,9_2015/16,314,363,194,111,39,5,8,0,6,1028,0
31/05/2015,Sun,9_2015/16,244,300,147,55,19,5,4,0,8,766,0
01/06/2015,Mon,10_2015/16,362,236,99,26,9,5,0,0,11,726,0
02/06/2015,Tue,10_2015/16,296,236,77,27,7,4,5,0,5,647,0
03/06/2015,Wed,10_2015/16,377,380,143,57,12,2,4,0,14,961,0
04/06/2015,Thu,10_2015/16,329,298,108,35,11,9,7,0,11,786,0
05/06/2015,Fri,10_2015/16,369,316,134,46,10,5,6,0,6,880,0
06/06/2015,Sat,10_2015/16,279,390,256,128,57,25,23,0,7,1151,0
07/06/2015,Sun,10_2015/16,208,254,134,36,25,6,7,0,5,665,0
08/06/2015,Mon,11_2015/16,355,242,96,33,7,3,7,0,11,732,0
09/06/2015,Tue,11_2015/16,312,241,101,28,11,2,8,0,10,693,0
10/06/2015,Wed,11_2015/16,354,311,127,43,16,14,0,0,11,854,0
11/06/2015,Thu,11_2015/16,331,308,105,39,4,4,5,1,15,782,0
12/06/2015,Fri,11_2015/16,363,304,121,43,9,4,4,1,8,841,0
13/06/2015,Sat,11_2015/16,345,399,206,83,23,8,16,1,5,1076,0
14/06/2015,Sun,11_2015/16,207,302,187,74,27,8,5,0,7,803,0
